symbol,description,path,trade_mode,digits,spread,trade_contract_size,trade_currency,quote_currency,margin_currency,is_visible
TINV.NYSE,Tiga Acquisition Corp,Stock CFD's\NYSE\TINV.NYSE,4,3,0,1.0,USD,USD,USD,False
TLYS.NYSE,Tilly's Inc,Stock CFD's\NYSE\TLYS.NYSE,4,3,0,1.0,USD,USD,USD,False
UL.NYSE,Unilever (US),Stock CFD's\NYSE\UL.NYSE,4,3,0,1.0,USD,USD,USD,False
IAU.NYSE,iShares Gold Trust (US),Stock CFD's\NYSE\ETF\IAU.NYSE,4,3,0,1.0,USD,USD,USD,False
XLV.NYSE,Health Care Select Sector SPDR Fund,Stock CFD's\NYSE\ETF\XLV.NYSE,4,3,0,1.0,USD,USD,USD,False
XLK.NYSE,Technology Select Sector SPDR Fund,Stock CFD's\NYSE\ETF\XLK.NYSE,4,3,0,1.0,USD,USD,USD,False
XLY.NYSE,Consumer Discretionary Select Sector SPDR Fund,Stock CFD's\NYSE\ETF\XLY.NYSE,4,3,0,1.0,USD,USD,USD,False
BFH.NYSE,Bread Financial Holdings Inc.,Stock CFD's\NYSE\BFH.NYSE,4,3,0,1.0,USD,USD,USD,False
GRMN.NYSE,Garmin Ltd.,Stock CFD's\NYSE\GRMN.NYSE,4,3,0,1.0,USD,USD,USD,False
WT.NYSE,WisdomTree Investments Inc,Stock CFD's\NYSE\WT.NYSE,4,3,0,1.0,USD,USD,USD,False
YINN.NYSE,Direxion Daily FTSE China Bull 3X Shares ETF CFD,Stock CFD's\NYSE\ETF\YINN.NYSE,4,2,0,1.0,USD,USD,USD,False
EWT.NYSE,iShares MSCI Taiwan Index Fund CFD,Stock CFD's\NYSE\ETF\EWT.NYSE,4,2,0,1.0,USD,USD,USD,False
EWC.NYSE,iShares MSCI Canada ETF CFD,Stock CFD's\NYSE\ETF\EWC.NYSE,4,2,0,1.0,USD,USD,USD,False
EPHE.NYSE,iShares MSCI Philippines ETF CFD,Stock CFD's\NYSE\ETF\EPHE.NYSE,4,2,0,1.0,USD,USD,USD,False
EWY.NYSE,iShares MSCI South Korea Capped ETF CFD,Stock CFD's\NYSE\ETF\EWY.NYSE,4,2,0,1.0,USD,USD,USD,False
RVTY.NYSE,Revvity Inc,Stock CFD's\NYSE\RVTY.NYSE,4,3,0,1.0,USD,USD,USD,False
NVRI.NYSE,Enviri Corp,Stock CFD's\NYSE\NVRI.NYSE,4,3,0,1.0,USD,USD,USD,False
EG.NYSE,Everest Re Group Ltd.,Stock CFD's\NYSE\EG.NYSE,4,3,0,1.0,USD,USD,USD,False
CDP.NYSE,COPT Defense Properties,Stock CFD's\NYSE\CDP.NYSE,4,3,0,1.0,USD,USD,USD,False
EXPD.NYSE,Expeditors,Stock CFD's\NYSE\EXPD.NYSE,4,3,0,1.0,USD,USD,USD,False
RGS.NAS,Regis Corp,Stock CFD's\NYSE\RGS.NAS,3,3,0,1.0,USD,USD,USD,False
DAY.NYSE,Ceridian HCM Holding Inc. Common Stock,Stock CFD's\NYSE\DAY.NYSE,4,3,0,1.0,USD,USD,USD,False
MTUS.NYSE,Metallus Inc,Stock CFD's\NYSE\MTUS.NYSE,3,3,0,1.0,USD,USD,USD,False
DOC.NYSE,Healthpeak Properties,Stock CFD's\NYSE\DOC.NYSE,4,3,0,1.0,USD,USD,USD,False
ABCB.NYSE,Ameris Bancorp,Stock CFD's\NYSE\ABCB.NYSE,3,3,0,1.0,USD,USD,USD,False
GAP.NYSE,Gap Inc.,Stock CFD's\NYSE\GAP.NYSE,3,3,0,1.0,USD,USD,USD,False
CURB.NYSE,Curbline Properties Corp.,Stock CFD's\NYSE\CURB.NYSE,4,3,0,1.0,USD,USD,USD,False
XIFR.NYSE,NextEra Energy Partners LP,Stock CFD's\NYSE\XIFR.NYSE,4,3,0,1.0,USD,USD,USD,False
SGI.NYSE,Tempur Sealy International Inc,Stock CFD's\NYSE\SGI.NYSE,4,3,0,1.0,USD,USD,USD,False
JBTM.NYSE,John Bean Technologies Corp,Stock CFD's\NYSE\JBTM.NYSE,4,3,0,1.0,USD,USD,USD,False
B.NYSE,Barrick Gold Corp,Stock CFD's\NYSE\B.NYSE,3,3,0,1.0,USD,USD,USD,False
BRSL.NYSE,International Game Technology,Stock CFD's\NYSE\BRSL.NYSE,4,3,0,1.0,USD,USD,USD,False
BBT.NYSE,Berkshire Hills Bancorp Inc,Stock CFD's\NYSE\BBT.NYSE,4,2,0,1.0,USD,USD,USD,False
VHC.NAS,VirnetX Holding Corp,Stock CFD's\NYSE\VHC.NAS,4,3,0,1.0,USD,USD,USD,False
AAPL.NAS,Apple Inc CFD,Stock CFD's\Nasdaq\AAPL.NAS,4,3,0,1.0,USD,USD,USD,False
