ticket,order,symbol,type,volume,price,profit,swap,commission,time
1066310035,1305065262,USDJPY,1,0.01,153.732,0.0,0.0,0.0,2025-11-06 17:17:19
1066307564,1305062352,EURNZD,0,0.01,2.03581,0.0,0.0,0.0,2025-11-06 17:16:03
1066306641,1305061169,GBPJPY,1,0.01,200.817,0.0,0.0,0.0,2025-11-06 17:15:33
1066303650,1305057624,NZDJPY,1,0.01,86.944,0.0,0.0,0.0,2025-11-06 17:14:32
1066302219,1305055780,GBPCAD,0,0.01,1.84228,0.0,0.0,0.0,2025-11-06 17:13:34
1066300410,1305053292,EURNZD,1,0.01,2.03533,1.06,0.0,0.0,2025-11-06 17:12:07
1066296313,1305048350,GBPAUD,1,0.01,2.00623,0.0,0.0,0.0,2025-11-06 17:08:55
1066293984,1305045269,USDCAD,1,0.01,1.41018,0.0,0.0,0.0,2025-11-06 17:06:47
1066293293,1305044470,GBPNZD,1,0.01,2.30966,1.06,0.0,0.0,2025-11-06 17:06:29
1066293006,1305044142,EURCHF,0,0.01,0.9313,-0.45,0.0,0.0,2025-11-06 17:06:16
1066292275,1305043269,GBPCAD,0,0.01,1.84234,-0.74,0.0,0.0,2025-11-06 17:05:43
1066290122,1305040737,AUDNZD,0,0.01,1.15085,0.0,0.0,0.0,2025-11-06 17:04:25
1066289370,1305039968,AUDJPY,1,0.01,100.072,-0.6,0.0,0.0,2025-11-06 17:04:08
1066289355,1305039954,NZDJPY,0,0.01,86.987,0.79,0.0,0.0,2025-11-06 17:04:08
1066288539,1305039046,USDJPY,0,0.01,153.746,0.96,0.0,0.0,2025-11-06 17:03:44
1066283802,1305033818,AUDNZD,1,0.01,1.1502,-0.36,0.0,0.0,2025-11-06 17:00:56
1066282801,1305032530,NZDCHF,1,0.01,0.45767,0.0,0.0,0.0,2025-11-06 17:00:18
1066281402,1305029926,EURCHF,1,0.01,0.93094,0.0,0.0,0.0,2025-11-06 16:59:57
1066280928,1305029361,GBPCHF,1,0.01,1.05668,0.0,0.0,0.0,2025-11-06 16:59:20
1066279907,1305028154,EURCHF,0,0.01,0.93124,-0.38,0.0,0.0,2025-11-06 16:58:02
